,true_labels,predicted_labels
5488,0,0
2577,1,1
3692,1,1
7466,3,3
7564,3,3
4717,0,0
6279,3,3
1123,2,2
4046,0,0
3617,1,1
4246,0,0
3475,1,1
3862,1,1
3647,1,1
7637,3,2
4161,0,2
3827,1,1
5646,0,0
4502,0,0
4091,0,0
6362,3,3
1452,2,2
6624,3,3
3379,1,1
794,2,2
4842,0,1
6281,3,3
7892,3,3
763,2,2
6517,3,3
811,2,3
6629,3,3
2495,1,1
1617,2,2
2124,1,1
1042,2,0
1559,2,2
3165,1,1
487,2,2
1017,2,2
4058,0,0
2233,1,1
4169,0,0
7173,3,3
2266,1,1
2407,1,1
1075,2,2
6178,3,3
4979,0,0
6225,3,3
2582,1,1
6723,3,3
2706,1,1
6996,3,3
1322,2,2
7126,3,3
3406,1,1
6651,3,3
7706,3,3
866,2,2
3460,1,1
5476,0,0
465,2,2
2877,1,1
1835,2,2
7039,3,2
3708,1,1
3034,1,1
1501,2,2
3907,1,1
1665,2,2
263,2,2
1972,2,2
4568,0,0
1737,2,2
1966,2,0
1144,2,2
5824,0,0
3286,1,1
7109,3,3
6771,3,3
7127,3,3
682,2,0
2133,1,1
1002,2,0
7723,3,3
5697,0,0
4288,0,0
4949,0,0
483,2,2
3805,1,1
1438,2,2
518,2,2
4466,0,0
1345,2,2
696,2,2
1009,2,2
2063,1,1
6592,3,3
3898,1,1
1074,2,2
1339,2,2
7205,3,3
7053,3,3
6744,3,3
4034,0,0
3539,1,1
2272,1,1
2088,1,1
7023,3,3
1034,2,0
5482,0,0
2473,1,1
349,2,2
4472,0,0
4350,0,1
5598,0,0
1061,2,2
879,2,2
4679,0,0
7500,3,3
7572,3,3
1533,2,2
7736,3,3
2057,1,1
2418,1,1
4184,0,2
2698,1,1
2301,1,1
2002,1,1
1870,2,2
457,2,3
4781,0,0
5719,0,2
3176,1,1
6472,3,3
1940,2,2
2796,1,1
1699,2,2
7899,3,3
4122,0,0
6699,3,3
7221,3,3
7017,3,3
5687,0,0
6056,3,3
586,2,2
2402,1,1
2585,1,1
3849,1,1
7832,3,3
4851,0,0
1941,2,2
3528,1,1
5022,0,2
1545,2,2
3892,1,1
2302,1,1
647,2,2
222,2,2
6886,3,3
5465,0,0
23,2,2
4306,0,2
6794,3,3
4011,0,0
6922,3,3
2799,1,1
6706,3,3
5272,0,0
4943,0,0
1407,2,2
65,2,2
2676,1,1
1044,2,2
6685,3,3
7038,3,3
4741,0,0
2029,1,1
5821,0,2
5242,0,0
3881,1,1
554,2,2
1677,2,2
2829,1,1
4253,0,2
2177,1,1
5682,0,0
4764,0,0
1055,2,2
1406,2,2
4454,0,0
601,2,2
1383,2,2
2406,1,1
6613,3,3
3268,1,1
2885,1,1
5235,0,0
5214,0,0
6201,3,3
1739,2,2
3555,1,1
927,2,2
6274,3,3
3571,1,1
1840,2,2
7469,3,2
2602,1,1
239,2,2
2432,1,1
5361,0,0
5790,0,0
3204,1,1
101,2,2
318,2,2
3513,1,1
3181,1,1
533,2,2
737,2,0
1244,2,2
1142,2,2
1489,2,0
1811,2,2
5972,0,2
1328,2,2
6483,3,3
3801,1,1
1926,2,2
2083,1,1
496,2,2
7541,3,3
6884,3,2
472,2,2
5048,0,0
6146,3,3
1782,2,2
544,2,2
4174,0,0
1242,2,2
5863,0,0
7320,3,3
334,2,2
5909,0,2
1315,2,2
6859,3,3
2182,1,1
6237,3,3
7770,3,3
4587,0,0
132,2,2
2138,1,1
4326,0,0
4765,0,0
540,2,2
6143,3,3
7860,3,3
37,2,2
7093,3,3
4209,0,0
7800,3,3
1509,2,2
2997,1,1
748,2,2
7976,3,3
5769,0,0
2728,1,1
2498,1,1
95,2,2
6248,3,3
5246,0,0
6383,3,3
1575,2,0
2184,1,1
4217,0,0
5786,0,0
3780,1,1
453,2,2
6581,3,3
2807,1,1
6013,3,3
251,2,2
6553,3,3
1022,2,2
7644,3,3
1010,2,2
5602,0,0
1965,2,2
1465,2,2
625,2,2
7790,3,3
1731,2,2
5503,0,0
7753,3,3
4844,0,0
4230,0,0
3085,1,0
5292,0,0
4266,0,0
3454,1,1
3080,1,1
157,2,2
5882,0,0
3734,1,1
5154,0,0
5842,0,0
503,2,2
5396,0,0
315,2,2
710,2,2
6458,3,3
2094,1,1
7639,3,3
3934,1,1
856,2,2
7557,3,3
6399,3,3
2651,1,1
319,2,2
429,2,2
1018,2,2
1425,2,2
7584,3,3
6421,3,2
4317,0,0
3131,1,1
7142,3,3
6602,3,3
4880,0,0
1978,2,2
7941,3,3
1193,2,2
3781,1,1
6203,3,3
5546,0,0
2899,1,1
5283,0,0
4919,0,0
4424,0,0
1662,2,2
2892,1,1
3039,1,1
2623,1,1
7775,3,3
7817,3,3
4615,0,0
1281,2,2
3298,1,1
7285,3,3
2534,1,1
5930,0,0
2576,1,1
7695,3,3
743,2,2
3358,1,1
2570,1,1
